,Albania,Armenia,Australia,Austria,Azerbaijan,Belgium,Bulgaria,Croatia,Cyprus,Czechia,Denmark,Estonia,Finland,France,Georgia,Germany,Greece,Israel,Italy,Latvia,Lithuania,Luxembourg,Malta,Moldova,Montenegro,Norway,Poland,Portugal,Romania,San Marino,Serbia,Sweden,Switzerland,Ukraine,United Kingdom
Bulgaria,3,10,12,,5,4,,4,10,4,12,7,,7,3,7,6,8,3,4,12,8,12,7,5,3,10,,4,8,7,5,4,,10
Australia,1,12,,7,,10,8,7,5,6,4,,7,5,,5,7,12,,,,10,8,4,,7,7,,12,,2,8,6,2,3
Denmark,5,5,5,10,,,1,10,6,12,,8,10,10,,4,,10,,5,4,5,,,,12,,10,7,1,6,10,3,,6
France,4,8,10,4,,5,,3,3,3,3,,12,,12,6,8,,,6,1,6,7,2,,10,,5,,,,2,7,5,12
Finland,,2,4,6,,8,,6,4,7,8,12,,2,7,8,,7,,3,5,3,5,,7,8,,7,,2,,12,,6,2
Italy,12,,1,2,12,6,6,,1,,6,6,3,8,10,10,,3,,,,,10,1,3,5,2,,,10,10,3,,4,
Poland,,1,8,12,,12,,2,,5,,5,6,,2,12,10,,6,8,10,,1,12,1,,,6,,,1,,8,,5
Israel,8,7,,8,4,1,7,5,,2,7,,,4,6,3,,,,,8,,4,10,,1,12,,6,4,4,,2,10,
Norway,10,6,6,3,,7,3,,,10,,10,,12,5,,,,,,7,4,2,6,,,3,2,5,,5,,5,,4
Czechia,7,4,7,5,1,,4,,2,,5,1,2,,1,,,,,12,2,,,5,,2,4,,8,,,7,10,7,8
Malta,6,,,,2,,12,,7,1,,,,3,4,,,,8,,,2,,,,,,,3,12,8,,,12,1
Greece,2,3,2,1,,,,,12,,,3,,,,,,5,,1,,,,8,6,,8,,,6,12,4,,,
Romania,,,,,3,,,,,8,1,,,,,,2,4,5,2,,12,,3,,6,5,1,,7,,1,1,3,
Albania,,,,,6,3,,8,8,,,,,,,,1,1,,,,,6,,10,,,12,,5,,,,,
Ukraine,,,,,10,,,,,,,,,6,,,,,7,7,,,,,,,1,3,1,,,,12,,7
Croatia,,,,,7,,,,,,,4,5,,,2,4,,,,,7,,,8,,,8,2,,,6,,,
Moldova,,,,,,,5,1,,,,,1,,,,3,6,1,,3,,,,2,,,,10,,3,,,8,
Cyprus,,,3,,,,10,,,,2,,,,8,,12,,,,,,3,,,,,,,3,,,,,
Serbia,,,,,8,,,12,,,,,,1,,,5,,,,,,,,12,,,,,,,,,,
Belgium,,,,,,,,,,,,2,4,,,,,2,12,10,,,,,,,6,,,,,,,,
Sweden,,,,,,,,,,,10,,,,,1,,,10,,6,,,,4,4,,,,,,,,,
Germany,,,,,,2,2,,,,,,,,,,,,4,,,,,,,,,4,,,,,,,
Lithuania,,,,,,,,,,,,,8,,,,,,2,,,,,,,,,,,,,,,,
Austria,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
